gene323	KVP18_000189	KAH0485392.1
gene323	KVP18_000189	KAH0485393.1
gene324	KVP18_000190	KAH0485394.1
gene324	KVP18_000190	KAH0485395.1
gene325	KVP18_000191	KAH0485396.1
gene325	KVP18_000191	KAH0485397.1
gene325	KVP18_000191	KAH0485398.1
gene326	KVP18_000192	KAH0485399.1
gene327	KVP18_000193	KAH0485400.1
gene328	KVP18_000194	KAH0485401.1
gene329	KVP18_000195	KAH0485402.1
gene330	KVP18_000196	KAH0485403.1
gene331	KVP18_000197	KAH0485404.1
gene331	KVP18_000197	KAH0485405.1
gene332	KVP18_000198	KAH0485406.1
gene333	KVP18_000199	KAH0485407.1
gene333	KVP18_000199	KAH0485408.1
gene334	KVP18_000200	KAH0485409.1
gene347	KVP18_000201	KAH0486189.1
gene348	KVP18_000202	KAH0486190.1
gene348	KVP18_000202	KAH0486191.1
gene348	KVP18_000202	KAH0486192.1
gene349	KVP18_000203	KAH0486193.1
gene350	KVP18_000204	KAH0486194.1
gene363	KVP18_000205	KAH0479161.1
gene364	KVP18_000206	KAH0479162.1
gene364	KVP18_000206	KAH0479163.1
gene364	KVP18_000206	KAH0479164.1
gene364	KVP18_000206	KAH0479165.1
gene365	KVP18_000207	KAH0479166.1
gene365	KVP18_000207	KAH0479167.1
gene365	KVP18_000207	KAH0479168.1
gene366	KVP18_000208	KAH0479169.1
gene366	KVP18_000208	KAH0479170.1
gene367	KVP18_000209	KAH0479171.1
gene368	KVP18_000210	KAH0479172.1
gene368	KVP18_000210	KAH0479173.1
gene368	KVP18_000210	KAH0479174.1
gene369	KVP18_000211	KAH0479175.1
gene369	KVP18_000211	KAH0479176.1
gene370	KVP18_000212	KAH0479177.1
gene371	KVP18_000213	KAH0479178.1
gene372	KVP18_000214	KAH0479179.1
gene372	KVP18_000214	KAH0479180.1
gene373	KVP18_000215	KAH0479181.1
gene374	KVP18_000216	KAH0479182.1
gene374	KVP18_000216	KAH0479183.1
gene375	KVP18_000217	KAH0479184.1
gene376	KVP18_000218	KAH0479185.1
gene376	KVP18_000218	KAH0479186.1
gene377	KVP18_000219	KAH0482077.1
gene378	KVP18_000220	KAH0482078.1
gene378	KVP18_000220	KAH0482079.1
gene378	KVP18_000220	KAH0482080.1
gene378	KVP18_000220	KAH0482081.1
gene378	KVP18_000220	KAH0482082.1
gene379	KVP18_000221	KAH0482083.1
gene380	KVP18_000222	KAH0482084.1
gene381	KVP18_000223	KAH0482085.1
gene382	KVP18_000224	KAH0482086.1
gene382	KVP18_000224	KAH0482087.1
gene383	KVP18_000225	KAH0482088.1
gene383	KVP18_000225	KAH0482089.1
gene384	KVP18_000226	KAH0482090.1
gene385	KVP18_000227	KAH0482091.1
gene386	KVP18_000228	KAH0482092.1
gene386	KVP18_000228	KAH0482093.1
gene387	KVP18_000229	KAH0482094.1
gene388	KVP18_000230	KAH0482095.1
gene388	KVP18_000230	KAH0482096.1
gene388	KVP18_000230	KAH0482097.1
gene389	KVP18_000231	KAH0482098.1
gene390	KVP18_000232	KAH0482099.1
gene390	KVP18_000232	KAH0482100.1
gene391	KVP18_000233	KAH0482101.1
gene392	KVP18_000234	KAH0482102.1
gene393	KVP18_000235	KAH0482103.1
gene394	KVP18_000236	KAH0482104.1
gene395	KVP18_000237	KAH0482105.1
gene395	KVP18_000237	KAH0482106.1
gene395	KVP18_000237	KAH0482107.1
gene396	KVP18_000238	KAH0482108.1
gene397	KVP18_000239	KAH0482109.1
gene398	KVP18_000240	KAH0482110.1
gene399	KVP18_000241	KAH0482111.1
gene399	KVP18_000241	KAH0482112.1
gene400	KVP18_000242	KAH0482113.1
gene400	KVP18_000242	KAH0482114.1
gene401	KVP18_000243	KAH0482115.1
gene401	KVP18_000243	KAH0482116.1
gene402	KVP18_000244	KAH0482117.1
gene403	KVP18_000245	KAH0482118.1
gene403	KVP18_000245	KAH0482119.1
gene404	KVP18_000246	KAH0482120.1
gene404	KVP18_000246	KAH0482121.1
gene404	KVP18_000246	KAH0482122.1
gene405	KVP18_000247	KAH0482123.1
gene405	KVP18_000247	KAH0482124.1
gene406	KVP18_000248	KAH0482125.1
gene406	KVP18_000248	KAH0482126.1
gene406	KVP18_000248	KAH0482127.1
gene407	KVP18_000249	KAH0482128.1
gene408	KVP18_000250	KAH0482129.1
gene409	KVP18_000251	KAH0482130.1
gene410	KVP18_000252	KAH0482131.1
gene411	KVP18_000253	KAH0482132.1
gene411	KVP18_000253	KAH0482133.1
gene412	KVP18_000254	KAH0482134.1
gene413	KVP18_000255	KAH0482135.1
gene413	KVP18_000255	KAH0482136.1
gene414	KVP18_000256	KAH0482137.1
gene414	KVP18_000256	KAH0482138.1
gene415	KVP18_000257	KAH0482139.1
gene416	KVP18_000258	KAH0482140.1
gene417	KVP18_000259	KAH0482141.1
gene418	KVP18_000260	KAH0482142.1
gene418	KVP18_000260	KAH0482143.1
gene419	KVP18_000261	KAH0482144.1
gene420	KVP18_000262	KAH0482145.1
gene421	KVP18_000263	KAH0482146.1
gene421	KVP18_000263	KAH0482147.1
gene422	KVP18_000264	KAH0482148.1
gene423	KVP18_000265	KAH0482149.1
gene423	KVP18_000265	KAH0482150.1
gene424	KVP18_000266	KAH0482151.1
gene424	KVP18_000266	KAH0482152.1
gene426	KVP18_000267	KAH0473241.1
gene426	KVP18_000267	KAH0473242.1
gene427	KVP18_000268	KAH0487958.1
gene427	KVP18_000268	KAH0487959.1
gene444	KVP18_000269	KAH0473162.1
gene444	KVP18_000269	KAH0473163.1
gene444	KVP18_000269	KAH0473164.1
gene445	KVP18_000270	KAH0473165.1
gene446	KVP18_000271	KAH0473166.1
gene446	KVP18_000271	KAH0473167.1
gene446	KVP18_000271	KAH0473168.1
gene446	KVP18_000271	KAH0473169.1
gene447	KVP18_000272	KAH0473170.1
gene448	KVP18_000273	KAH0473171.1
gene449	KVP18_000274	KAH0473172.1
gene450	KVP18_000275	KAH0473173.1
gene451	KVP18_000276	KAH0473174.1
gene472	KVP18_000277	KAH0476461.1
gene472	KVP18_000277	KAH0476462.1
gene515	KVP18_000278	KAH0473998.1
gene515	KVP18_000278	KAH0473999.1
gene540	KVP18_000279	KAH0479832.1
gene540	KVP18_000279	KAH0479833.1
gene541	KVP18_000280	KAH0479834.1
gene546	KVP18_000281	KAH0481414.1
gene547	KVP18_000282	KAH0481415.1
gene547	KVP18_000282	KAH0481416.1
gene547	KVP18_000282	KAH0481417.1
gene547	KVP18_000282	KAH0481418.1
gene547	KVP18_000282	KAH0481419.1
gene548	KVP18_000283	KAH0481420.1
gene548	KVP18_000283	KAH0481421.1
gene549	KVP18_000284	KAH0481422.1
gene550	KVP18_000285	KAH0481423.1
gene551	KVP18_000286	KAH0481424.1
gene552	KVP18_000287	KAH0481425.1
gene553	KVP18_000288	KAH0481426.1
gene554	KVP18_000289	KAH0481427.1
gene555	KVP18_000290	KAH0481428.1
gene556	KVP18_000291	KAH0481429.1
gene556	KVP18_000291	KAH0481430.1
gene557	KVP18_000292	KAH0481431.1
gene558	KVP18_000293	KAH0481432.1
gene558	KVP18_000293	KAH0481433.1
gene559	KVP18_000294	KAH0487769.1
gene560	KVP18_000295	KAH0487770.1
gene561	KVP18_000296	KAH0487771.1
gene561	KVP18_000296	KAH0487772.1
gene562	KVP18_000297	KAH0487773.1
gene563	KVP18_000298	KAH0487774.1
gene564	KVP18_000299	KAH0487775.1
gene564	KVP18_000299	KAH0487776.1
gene580	KVP18_000300	KAH0476796.1
gene580	KVP18_000300	KAH0476797.1
gene580	KVP18_000300	KAH0476798.1
gene580	KVP18_000300	KAH0476799.1
gene580	KVP18_000300	KAH0476800.1
gene580	KVP18_000300	KAH0476801.1
gene580	KVP18_000300	KAH0476802.1
gene581	KVP18_000301	KAH0476803.1
gene582	KVP18_000302	KAH0476804.1
gene582	KVP18_000302	KAH0476805.1
gene582	KVP18_000302	KAH0476806.1
gene582	KVP18_000302	KAH0476807.1
gene583	KVP18_000303	KAH0476808.1
gene584	KVP18_000304	KAH0476809.1
gene584	KVP18_000304	KAH0476810.1
gene584	KVP18_000304	KAH0476811.1
gene585	KVP18_000305	KAH0476812.1
gene585	KVP18_000305	KAH0476813.1
gene586	KVP18_000306	KAH0476814.1
gene587	KVP18_000307	KAH0476815.1
gene588	KVP18_000308	KAH0476816.1
gene588	KVP18_000308	KAH0476817.1
gene588	KVP18_000308	KAH0476818.1
gene589	KVP18_000309	KAH0476819.1
gene590	KVP18_000310	KAH0473426.1
gene590	KVP18_000310	KAH0473427.1
gene612	KVP18_000311	KAH0484088.1
gene612	KVP18_000311	KAH0484089.1
gene613	KVP18_000312	KAH0484090.1
gene613	KVP18_000312	KAH0484091.1
gene614	KVP18_000313	KAH0484092.1
gene614	KVP18_000313	KAH0484093.1
gene631	KVP18_000314	KAH0486540.1
gene632	KVP18_000315	KAH0486541.1
gene632	KVP18_000315	KAH0486542.1
gene633	KVP18_000316	KAH0486543.1
gene633	KVP18_000316	KAH0486544.1
gene634	KVP18_000317	KAH0486545.1
gene635	KVP18_000318	KAH0486546.1
gene636	KVP18_000319	KAH0480540.1
gene636	KVP18_000319	KAH0480541.1
gene637	KVP18_000320	KAH0480542.1
gene638	KVP18_000321	KAH0486553.1
gene638	KVP18_000321	KAH0486554.1
gene642	KVP18_000322	KAH0476346.1
gene643	KVP18_000323	KAH0476347.1
gene643	KVP18_000323	KAH0476348.1
gene644	KVP18_000324	KAH0476349.1
gene644	KVP18_000324	KAH0476350.1
gene645	KVP18_000325	KAH0476351.1
gene645	KVP18_000325	KAH0476352.1
gene646	KVP18_000326	KAH0476353.1
gene646	KVP18_000326	KAH0476354.1
gene646	KVP18_000326	KAH0476355.1
gene647	KVP18_000327	KAH0476356.1
gene647	KVP18_000327	KAH0476357.1
gene648	KVP18_000328	KAH0476358.1
gene649	KVP18_000329	KAH0476359.1
gene650	KVP18_000330	KAH0476360.1
gene651	KVP18_000331	KAH0476361.1
gene651	KVP18_000331	KAH0476362.1
gene652	KVP18_000332	KAH0476363.1
gene652	KVP18_000332	KAH0476364.1
gene653	KVP18_000333	KAH0476365.1
gene657	KVP18_000334	KAH0477794.1
gene658	KVP18_000335	KAH0477795.1
gene661	KVP18_000336	KAH0477465.1
gene661	KVP18_000336	KAH0477466.1
gene752	KVP18_000337	KAH0473001.1
gene752	KVP18_000337	KAH0473002.1
gene752	KVP18_000337	KAH0473003.1
gene753	KVP18_000338	KAH0473004.1
gene754	KVP18_000339	KAH0473005.1
gene754	KVP18_000339	KAH0473006.1
gene755	KVP18_000340	KAH0473007.1
gene756	KVP18_000341	KAH0473008.1
gene756	KVP18_000341	KAH0473009.1
gene756	KVP18_000341	KAH0473010.1
gene757	KVP18_000342	KAH0473011.1
gene758	KVP18_000343	KAH0473012.1
gene759	KVP18_000344	KAH0473013.1
gene760	KVP18_000345	KAH0473014.1
gene760	KVP18_000345	KAH0473015.1
gene760	KVP18_000345	KAH0473016.1
gene760	KVP18_000345	KAH0473017.1
gene760	KVP18_000345	KAH0473018.1
gene761	KVP18_000346	KAH0473019.1
gene761	KVP18_000346	KAH0473020.1
gene761	KVP18_000346	KAH0473021.1
gene762	KVP18_000347	KAH0473022.1
gene762	KVP18_000347	KAH0473023.1
gene763	KVP18_000348	KAH0473024.1
gene764	KVP18_000349	KAH0473025.1
gene765	KVP18_000350	KAH0473026.1
gene766	KVP18_000351	KAH0473027.1
gene767	KVP18_000352	KAH0473028.1
gene767	KVP18_000352	KAH0473029.1
gene767	KVP18_000352	KAH0473030.1
gene768	KVP18_000353	KAH0473031.1
gene769	KVP18_000354	KAH0473032.1
gene770	KVP18_000355	KAH0473033.1
gene771	KVP18_000356	KAH0473034.1
gene772	KVP18_000357	KAH0473035.1
gene773	KVP18_000358	KAH0473036.1
gene774	KVP18_000359	KAH0473037.1
gene786	KVP18_000360	KAH0472824.1
gene788	KVP18_000361	KAH0476754.1
gene788	KVP18_000361	KAH0476755.1
gene788	KVP18_000361	KAH0476756.1
gene789	KVP18_000362	KAH0476757.1
gene790	KVP18_000363	KAH0476758.1
gene791	KVP18_000364	KAH0476759.1
gene792	KVP18_000365	KAH0476760.1
gene792	KVP18_000365	KAH0476761.1
gene793	KVP18_000366	KAH0476762.1
gene793	KVP18_000366	KAH0476763.1
gene793	KVP18_000366	KAH0476764.1
gene793	KVP18_000366	KAH0476765.1
gene793	KVP18_000366	KAH0476766.1
gene794	KVP18_000367	KAH0476767.1
gene795	KVP18_000368	KAH0476768.1
gene795	KVP18_000368	KAH0476769.1
gene795	KVP18_000368	KAH0476770.1
gene796	KVP18_000369	KAH0476771.1
gene796	KVP18_000369	KAH0476772.1
gene797	KVP18_000370	KAH0476773.1
gene798	KVP18_000371	KAH0476774.1
gene799	KVP18_000372	KAH0476775.1
gene799	KVP18_000372	KAH0476776.1
gene800	KVP18_000373	KAH0476777.1
gene800	KVP18_000373	KAH0476778.1
gene801	KVP18_000374	KAH0471982.1
gene801	KVP18_000374	KAH0471983.1
gene802	KVP18_000375	KAH0471984.1
gene803	KVP18_000376	KAH0471985.1
gene803	KVP18_000376	KAH0471986.1
gene804	KVP18_000377	KAH0471987.1
gene805	KVP18_000378	KAH0471988.1
gene805	KVP18_000378	KAH0471989.1
gene806	KVP18_000379	KAH0471990.1
gene806	KVP18_000379	KAH0471991.1
gene807	KVP18_000380	KAH0471992.1
gene807	KVP18_000380	KAH0471993.1
gene808	KVP18_000381	KAH0484701.1
gene808	KVP18_000381	KAH0484702.1
